citation_item,item_count,frequency
"A Charnes, 1978, 10.1016/0377-2217(78)90138-8",2,0.26
"M Kohlbacher, 2011, 10.1108/17410401111167799",2,0.26
"C Armistead, 1999, 10.1016/S0024-6301(98)00130-7",2,0.26
"C Houy, 2010, 10.1108/14637151011065946",2,0.26
"M Indihar Štemberger, 2018, 10.1108/BPMJ-02-2017-0023",2,0.26
"T McNulty, 2004, 10.1177/0170840604046349",2,0.26
"R Škrinjar, 2008, 10.1108/14637150810903084",2,0.26
"All that glitters is not gold: Selecting the right tool for your BPM needs, Russell N., 2007",2,0.26
10.1145/2668930.2695527,2,0.26
"Explicating dynamic capabilities: the nature and microfoundations of (sustainable) enterprise performance, Teece, 2007, 10.1002/smj.640",2,0.26
"Hajo A Reijers, 2005, 10.1016/j.omega.2004.04.012",2,0.26
"C Gröger, 2014, 10.1007/978-3-319-06695-0_3",2,0.26
"M Rohloff, 2009, 10.1007/978-3-642-03848-8_10",2,0.26
"CW Holland, 2005",2,0.26
"M Kohlbacher, 2011, 10.1108/14637151111122347",2,0.26
"R Kohavi, 2009, 10.1007/s10618-008-0114-1",2,0.26
"J vom Brocke, 2010, 10.1108/14637151011035633",2,0.26
"A conceptual framework for understanding business processes and business process modelling, Melão, 2000, 10.1046/j.1365-2575.2000.00075.x",2,0.26
10.1109/ICSMC.2007.4413598,2,0.26
"The critical success factors of business process management, Trkman, 2010, 10.1016/j.ijinfomgt.2009.07.003",2,0.26
10.1007/978-3-642-45103-4_4,2,0.26
10.2514/2.1234,2,0.26
"C Sonnenberg, 2014, 10.1108/BPMJ-12-2012-0136",2,0.26
"S Hertz, 2001, 10.1108/13598540110399174",2,0.26
"RY-Y Hung, 2006, 10.1080/14783360500249836",2,0.26
"M Kohlbacher, 2010, 10.1108/14637151011017985",2,0.26
"P Küng, 2007, 10.1108/14637150710763522",2,0.26
10.1007/978-3-642-01982-1_10,2,0.26
"RD Banker, 1984, 10.1287/mnsc.30.9.1078",2,0.26
"van der aalst, 2011",2,0.26
"S Adesola, 2005, 10.1108/14637150510578719",2,0.26
10.1007/s10898-005-2454-3,2,0.26
