item,count,f
"Hofmann, 2017, 10.1007/978-3-319-62371-9",1,0.13
"Houy, 2010, 10.1108/14637151011065946",1,0.13
"Hurtado, 2004, 10.1145/543613.543636",1,0.13
"Husson, 2011, 10.1201/b10345",1,0.13
"Hwang, 2009, 10.1016/j.jfineco.2008.07.005",1,0.13
"Iden, 2010, 10.1080/10580531003708378",1,0.13
"Ilinitch, 2008, 10.1287/orsc.7.3.211",1,0.13
"Imai, 2004, 10.1016/j.trb.2004.04.004",1,0.13
"Indrawati, 2018, 10.1109/icstc.2018.8528712",1,0.13
"Indulska, 2009, 10.1007/978-3-642-02144-2_39",1,0.13
"Ivanović, 2010, 10.1007/978-3-642-16132-2_39",1,0.13
"Işik, 2013, 10.1108/14637151311319932",1,0.13
"Jabrouni, 2011, 10.1016/j.engappai.2011.02.015",1,0.13
"Jamous, 2017, 10.1109/es.2016.10",1,0.13
"Javalgi, 2015, 10.1007/978-3-319-17317-7_2",1,0.13
"Jensen, 2002, 10.1016/0304-405x(76)90026-x",1,0.13
"Jiang, 2020, 10.18653/v1/2020.acl-main.197",1,0.13
"Jiantao Wang, 2005, 10.1109/tnet.2005.850219",1,0.13
"Jochem, 2011, 10.1108/17542731111139464",1,0.13
"Kannengiesser, 2014, 10.1007/978-3-319-06065-1_11",1,0.13
"Kannengiesser, 2016, 10.1007/978-3-319-48466-2_4",1,0.13
"Kapuscinski, 2011, 10.1007/978-1-4615-4949-9_2",1,0.13
"Karvonen, 2006, 10.1007/1-4020-8139-1_27",1,0.13
"Kawrykow, 2011, 10.1145/1985793.1985842",1,0.13
"Keen, 2002, 10.1145/358527.358543",1,0.13
"Kellaris, 2015, 10.14778/2732977.2732989",1,0.13
"Kelle, 2004, 10.1016/j.ijpe.2004.06.004",1,0.13
"Kemppainen, 2019, 10.22215/timreview/1291",1,0.13
"Khadraoui, 2012, 10.1007/s12927-012-0005-2",1,0.13
"Khajeh-Hosseini, 2011, 10.1109/cloud.2011.59",1,0.13
"Khajeh‐Hosseini, 2011, 10.1002/spe.1072",1,0.13
"Kim, 2013, 10.7232/ieif.2012.25.1.001",1,0.13
"Kimbrough, 2002, 10.1016/s0167-9236(02)00019-2",1,0.13
"King, 2006, 10.1111/j.1742-6723.2006.00872.x",1,0.13
"Klein, 2010, 10.1145/1827418.1827443",1,0.13
"Klinkmüller, 2018, 10.1007/978-3-319-92901-9_15",1,0.13
"Kluge, 2008, 10.1109/compsac.2008.147",1,0.13
"Ko, 2013, 10.1007/s10664-013-9279-3",1,0.13
"Koetter, 2011, 10.1007/978-3-642-21863-7_7",1,0.13
"Kohlbacher, 2010, 10.1108/14637151011017985",1,0.13
"Kohlbacher, 2011, 10.1108/14637151111122347",1,0.13
"Koksal, 2005, 10.1145/273244.273265",1,0.13
"Kon, 2005, 10.1002/spe.654",1,0.13
"Krathu, 2012, 10.1007/978-3-642-35076-4_8",1,0.13
"Kumar, 2005, 10.1109/icac.2005.24",1,0.13
"Kumar, 2013, 10.1007/978-3-642-40176-3_20",1,0.13
"Kunze, 2016, 10.1007/978-3-319-44960-9",1,0.13
"Kuratko, 2009, 10.1016/j.bushor.2009.05.001",1,0.13
"Kwok, 2008, 10.1007/978-3-540-89652-4_57",1,0.13
"Künzle, 2011, 10.1002/smr.524",1,0.13
"L'Ecuyer, 2006, 10.1109/wsc.2005.1574301",1,0.13
"La Rosa, 2010, 10.1016/j.eswa.2010.12.012",1,0.13
"Lacy, 2004, 10.1370/afm.123",1,0.13
"Laguna, 2018, 10.1201/b14763",1,0.13
"Lahrmann, 2011, 10.1109/hicss.2011.90",1,0.13
"Lakshmanan, 2013, 10.1007/s10115-013-0697-8",1,0.13
"Lam, 2007, 10.1177/0170840600213001",1,0.13
"Lankhorst, 2010, 10.1007/978-3-642-16770-6_4",1,0.13
"Lee, 2003, 10.1145/606272.606273",1,0.13
"Lee, 2004, 10.1109/tsmca.2004.824871",1,0.13
"Lee, 2007, 10.1243/0954409jrrt110",1,0.13
"Leitao, 2016, 10.1109/jproc.2016.2521931",1,0.13
"Leitão, 2008, 10.1016/j.engappai.2008.09.005",1,0.13
"Lenz, 2011, 10.1007/978-3-540-40022-6_12",1,0.13
"Lewinton, 2007, 10.1243/pime_proc_1992_206_051_02",1,0.13
"Leyer, 2014, 10.1007/978-3-642-45103-4_9",1,0.13
"Li, 2004, 10.1016/j.omega.2004.08.002",1,0.13
"Li, 2019, 10.1145/3187009.3177737",1,0.13
"Liangzhao Zeng, 2004, 10.1109/tse.2004.11",1,0.13
"Liao, 2012, 10.1016/j.eswa.2012.02.063",1,0.13
"Little, 2003, 10.1108/02686900310476882",1,0.13
"Liu, 2004, 10.1016/j.im.2004.01.010",1,0.13
"Liu, 2009, 10.1007/978-1-84882-762-2_13",1,0.13
"Liu, 2011, 10.1016/j.jtbi.2011.10.004",1,0.13
"Livieri, 2015, 10.7250/csimq.2015-2.05",1,0.13
"Loboz, 2011, 10.1145/1996109.1996112",1,0.13
"Lodhi, 2011, 10.2478/v10143-011-0004-7",1,0.13
"Loitière, 2010, 10.1007/978-3-540-24688-6_102",1,0.13
"Longo, 2006, 10.1007/11678564_37",1,0.13
"Loos, 2013, 10.1007/s12599-013-0252-x",1,0.13
"Love, 2002, 10.1108/02656719910249829",1,0.13
"Lu, 2008, 10.1080/10580530802384613",1,0.13
"Lubbecke, 2015, 10.1109/hicss.2015.109",1,0.13
"Lucrédio, 2008, 10.1007/978-3-540-87875-9_22",1,0.13
"Mackay, 2008, 10.1287/isre.3.2.150",1,0.13
"Magdaleno, 2017, 10.1007/978-3-319-58457-7_32",1,0.13
"Maggi, 2013, 10.1007/978-3-642-38709-8_28",1,0.13
"Malinova, 2013, 10.1007/978-3-642-36285-9_10",1,0.13
"Marin-Castro, 2021, 10.3390/app112210556",1,0.13
"Marjanovic, 2011, 10.1109/hicss.2011.271",1,0.13
"Markus, 2010, 10.1007/978-3-642-01982-1_10",1,0.13
"Martin, 2010, 10.1007/978-3-540-30581-1_4",1,0.13
"Martinez, 2019, 10.1108/bpmj-08-2018-0237",1,0.13
"Marzouqi, 2017, 10.2118/188348-ms",1,0.13
"Mathew, 2011, 10.1007/978-3-540-30481-4_26",1,0.13
"Matthews, 2015, 10.1080/14783363.2015.1081812",1,0.13
"Mattos, 2012, 10.1109/cscwd.2012.6221808",1,0.13
"Maull, 2003, 10.1108/01443570310476645",1,0.13
"Maximilien, 2005, 10.1145/1035167.1035198",1,0.13
"Mazanek, 2008, 10.1109/vlhcc.2008.4639094",1,0.13
"McGregor, 2005, 10.1109/ipdps.2002.1016632",1,0.13
"Meddah, 2016, 10.4018/ijrsda.2016100102",1,0.13
"Melouk, 2003, 10.1016/s0925-5273(03)00092-6",1,0.13
"Melão, 2003, 10.1046/j.1365-2575.2000.00075.x",1,0.13
"Mendling, 2008, 10.1007/978-3-540-89224-3",1,0.13
"Meng, 2020, 10.3390/su12239805",1,0.13
"Meredith, 2011, 10.1007/s12063-011-0054-6",1,0.13
"Merton, 2006, 10.2307/1913811",1,0.13
"Metzger, 2017, 10.1007/978-3-319-59536-8_28",1,0.13
"Mikalef, 2020, 10.1080/0960085x.2020.1740618",1,0.13
"Minsky, 2002, 10.1145/352591.352592",1,0.13
"Montilva, 2018, 10.19153/cleiej.17.2.3",1,0.13
"Moon, 2002, 10.1006/mare.1996.0024",1,0.13
"Morgado, 2017, 10.1186/s41155-016-0057-1",1,0.13
"Moriarty, 2009, 10.1108/14635770910972423",1,0.13
"Mulder, 2007, 10.1007/978-0-387-38269-2_51",1,0.13
"Müller, 2008, 10.1007/978-3-540-69534-9_4",1,0.13
"NA, 2017, 10.1093/oxfordjournals.oep.a042181",1,0.13
"Nagurney, 2007, 10.1007/s10898-007-9198-1",1,0.13
"Narasimhan, 2008, 10.1007/s12063-008-0004-0",1,0.13
"Neely, 2003, 10.1016/s0925-5273(96)00080-1",1,0.13
"Nguyen, 2017, 10.5430/ijhe.v6n2p153",1,0.13
